,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price
231,1,1,2,1,3,1,1,0,2,1,2,1,3,0,0,72990
232,6,6,2,1,0,1,1,0,2,1,2,0,1,0,0,76990
233,1,1,2,1,0,1,1,0,2,1,3,1,0,0,1,89990
234,6,6,2,0,3,1,1,0,2,1,2,0,1,0,0,59990
235,1,1,2,0,3,1,1,0,2,1,2,1,0,0,1,65990
236,3,3,2,1,3,1,1,0,2,1,0,0,3,1,0,71990
237,3,3,2,1,3,1,1,0,2,1,0,0,3,1,0,71890
238,5,5,2,1,0,1,1,0,2,1,0,2,3,0,0,64990
239,1,1,2,1,0,1,1,0,2,1,0,0,0,0,0,65990
240,4,4,2,1,3,1,1,0,2,1,0,2,3,0,0,55999
241,1,1,2,1,0,1,1,0,2,1,2,0,0,0,0,73490
242,4,4,2,1,0,1,1,0,2,1,0,2,0,0,1,74490
243,4,4,2,1,3,1,1,0,2,1,0,2,0,0,1,58340
244,7,7,2,1,3,1,1,0,2,1,0,2,0,0,0,55999
245,3,3,2,1,0,1,1,0,2,1,0,2,3,0,0,67990
246,1,1,2,1,0,1,1,0,2,1,0,0,0,0,0,59990
247,1,1,2,1,0,1,1,0,2,1,3,0,0,0,1,82990
248,3,3,2,1,3,1,1,0,2,1,1,0,0,0,1,64190
249,3,3,2,1,0,1,1,0,2,1,0,2,3,0,0,70090
250,1,1,2,0,3,1,1,0,2,1,1,2,0,0,0,49990
251,6,6,2,1,3,1,1,0,2,1,0,2,3,0,0,55490
252,4,4,2,1,3,5,5,0,2,1,0,0,3,1,0,97990
253,1,1,2,6,3,1,1,0,2,1,2,1,0,0,1,54990
254,5,5,2,1,3,1,1,0,2,1,0,2,0,0,1,59990
255,5,5,2,1,3,1,1,0,2,1,0,2,0,0,1,53990
256,4,4,2,1,0,1,1,0,2,1,0,2,0,0,1,66999
257,7,7,2,1,3,5,5,0,2,1,0,2,0,0,1,60990
258,1,1,2,0,3,1,1,0,2,1,0,2,0,0,1,47990
259,4,4,2,1,3,1,1,0,2,0,0,2,0,0,1,59999
260,3,3,2,0,0,1,1,0,2,1,2,0,0,0,0,79990
261,1,1,2,0,3,1,1,0,2,1,2,1,0,0,0,63990
262,4,4,2,1,3,1,1,0,2,1,0,2,0,0,1,63990
264,5,5,2,1,3,1,1,0,2,1,0,2,0,0,0,55990
267,3,3,2,1,0,1,1,0,2,1,1,0,0,0,1,69490
268,3,3,2,1,0,1,1,0,2,1,0,0,0,1,1,89390
269,1,1,2,1,3,5,5,0,2,1,0,2,3,0,0,74990
270,5,5,2,1,3,1,1,0,2,1,0,0,2,1,1,64990
271,5,5,2,0,3,1,1,0,2,1,2,0,0,0,1,66490
272,3,3,2,1,0,1,1,0,2,1,1,0,0,0,1,89702
273,5,5,2,1,0,1,1,0,2,1,1,0,0,0,1,70990
274,1,1,2,1,0,1,1,0,2,1,0,0,0,1,1,58990
275,5,5,2,0,3,1,1,0,2,1,1,0,0,0,1,57500
276,3,3,2,1,3,1,1,0,2,1,1,0,0,1,1,79990
277,6,6,2,0,3,1,1,0,2,1,0,0,3,0,0,56541
278,1,1,2,1,0,1,1,0,2,1,0,2,3,0,0,59990
279,5,5,2,1,0,1,1,0,2,1,0,0,0,0,1,64990
280,3,3,2,1,3,1,1,0,2,1,0,2,0,0,0,61290
281,5,5,2,1,3,1,1,0,2,1,0,2,0,0,1,54990
282,5,5,2,1,3,1,1,0,2,1,0,0,0,0,1,59990
283,1,1,2,1,3,1,1,0,2,0,3,0,0,0,0,84990
284,4,4,2,1,3,1,1,0,2,1,0,2,0,0,1,72500
285,5,5,2,1,3,1,1,0,2,1,2,1,3,0,0,59990
286,5,5,2,1,3,1,1,0,2,1,0,0,0,1,1,87990
287,4,4,2,1,3,1,1,0,2,1,0,2,3,0,0,57990
288,3,3,2,1,3,1,1,0,2,1,0,2,0,0,1,69490
289,5,5,2,1,3,1,1,0,2,1,0,0,2,1,1,68990
290,5,5,2,1,3,1,1,0,2,0,0,0,0,0,1,77990
291,1,1,2,1,3,5,5,0,2,1,0,0,0,1,0,105990
292,6,6,2,1,3,5,5,0,2,1,0,0,0,0,0,79990
293,3,3,2,1,3,1,1,0,2,1,0,2,0,0,1,55490
294,5,5,2,1,3,1,1,0,2,1,0,2,0,0,1,69990
295,1,1,2,1,3,1,1,0,2,1,0,0,0,1,1,84990
296,3,3,2,1,3,1,1,0,2,1,0,2,3,0,0,59990
297,3,3,2,0,3,5,5,0,2,1,0,2,0,0,1,111890
298,3,3,2,1,3,1,1,0,2,1,1,0,0,0,0,65990
